Size (bp),CT_PD1,NE_MRL1, YC_PD1,CT_Large3,CT_PD2,NE_MRL2, YC_PD2,CT_PD3,NE_MRL3, YC_PD3,CT_MRL1,NE_PD1, YC_MRL1,CT_MRL2,NE_PD2, YC_MRL2,CT_MRL3,NE_PD3, YC_MRL3,CT_Large1,NE_Large1, YC_Large1,CT_Large2,NE_Large2, YC_Large2,NE_Large3,YC_Large3
0.59,1042.69,1176.76,1193.35,1324.37,1389.54,1363.86,1262.88,1357.16,1358.12,1126.47,1334.48,1223.84,1298.26,1436.17,1380.57,1286.87,1347.59,1122.25,1105.23,1353.64,1089.62,1291.07,1178.82,1221.69,1333.79,1126.06,1110.94
1,915.45,996.58,984.44,1271.75,1324.94,1165.83,1145.38,1143.99,1194.09,940.14,1226.35,1045.84,1123.56,1251.58,1254.12,1065.48,1233.55,991.81,968.56,1130.95,944.44,1105.47,1045.37,1067.18,1196.95,945.35,983.82
2,665.06,700.67,663.12,1000.37,1040.68,823.06,858.98,794.83,865.57,648.8,929.67,737.79,799.4,909.38,939.33,728.95,932.18,726.81,700.65,780.97,673.35,780.23,765.81,760.76,881.87,654.42,718.44
2.41,407.94,420.57,376.2,650.97,679.71,492.31,541.62,467.13,526.89,380.5,589.35,439.88,478.41,563.33,589.32,423.47,589.99,450.18,426.79,458,404.46,463.99,472.98,452.58,543.03,384.01,441.36
2.82,225.57,233.74,199.43,364.86,384.17,269.64,305.04,253.5,287.67,206.76,328,238.95,260.32,316.91,327.5,227.63,329.08,251.92,233.76,248.17,221.22,250.17,262.72,241.89,296.65,208.11,243.13
3.22,130.78,140.96,122.38,196.84,210.13,159.26,177.83,153.75,164.87,125.67,181.4,140.24,153.95,185.41,184.38,135.88,184.88,148.63,134.48,148.43,130.68,144.6,152.02,138.55,166.31,124.05,139.38
3.63,94.79,106.76,100.95,124.65,135.09,119.2,128.26,121.92,118.51,100.36,120.51,105.77,118.4,132.05,125.64,105.6,127.18,109.07,97.59,114.96,99.02,106.8,108.6,104.53,116.11,94.92,99.28
4.04,86.2,99.49,101.12,104.11,113.3,110.18,114.88,116.89,106.62,97.52,103.59,98.68,113.31,116.36,108.41,100.27,111.66,97.94,88.76,109.27,93.65,98.62,95.87,101.34,103.86,89.52,88.39
4.45,86.68,101.48,107.08,103.02,111.69,111.06,113.24,118.08,107.11,100.01,103.6,99.71,116.28,115,107.16,101.57,109.69,96.24,88.43,111.64,96.46,99.95,93.27,106.92,104.18,91.85,87.39
4.86,88.77,104.67,112.85,105.57,114.36,113.93,114.09,119.18,111.14,102.25,108.36,102.34,118.65,118.05,110.68,103.4,110.55,97.53,89.67,115.06,100.04,103.04,93.96,112.35,106.8,95.5,89.56
5.27,90.57,106.37,115.78,106.66,115.95,116.75,114.36,120.01,114.59,103.21,113.1,104.5,119.12,120.71,114.5,104.38,112,99.88,91.12,117.39,102.6,105.42,96.56,115.25,109.27,98.24,92.92
5.68,91.63,106.36,115.51,106.7,116.17,118.51,113.45,120.81,115.84,102.81,115.8,105.11,118.9,121.16,117.05,104.4,113.12,102.36,92.43,117.95,103.77,106.22,99.83,116.14,111.07,99.29,95.5
6.08,90.87,104.97,115.25,106.86,115.49,117.92,111.61,119.49,114.62,100.7,115.94,103.59,117.59,119.8,117.36,103,113.17,103.58,92.56,116.51,102.44,104.77,101.05,115.43,110.74,98.18,95.42
6.49,87.24,101.66,112.02,105.86,112.82,113.79,108.12,113.34,110.34,95.9,113.2,99.54,113.04,116.27,114.38,98.92,111.42,101.48,90.18,112.21,97.45,100.4,98.1,111.23,106.6,94.17,92.2
6.9,80.57,94.82,106.69,100.75,106.73,105.32,101.9,102.04,101.84,87.48,106.49,92.81,108.43,109.29,107.9,91.48,106.36,95.2,84.7,103.82,88.5,92.63,91.8,106.36,98.54,86.64,85.92
7.31,71.19,84.16,99.44,90.43,97.49,92.55,92.96,87.77,89.37,76,95.5,83.54,103.82,98.94,98.36,81.11,96.82,85.62,76.29,91.65,76.67,81.68,83.82,101.5,87.61,76.45,76.67
7.72,60.11,71.71,89.9,77.07,86.19,77.48,82.47,73.02,75.48,63.49,81.89,72.05,90.49,86.62,86,68.72,83.78,74.41,65.71,77.74,70.29,68.53,73.75,87.14,74.56,65.47,65.51
8.12,48.97,59.35,76.77,63.57,73.35,63.02,71.61,59.35,62.34,51.95,67.84,59.08,75.37,73.58,71.79,55.88,69.31,63.13,54.24,64.03,63.9,54.83,61.47,71.36,60.22,54.53,54.13
8.53,39.33,47.77,60.13,50.77,59.83,50.55,60.57,47.36,50.17,42,54.5,46.11,61.35,60.71,58.01,44.39,54.84,52.69,43.46,51.67,51.9,42.58,49.59,56.91,46.45,43.73,43.63
8.94,31.85,37.7,43.64,38.55,47.22,39.79,49.47,37.28,39.42,33.24,42.83,34.94,49.66,48.79,46.22,35.16,41.79,43.8,34.8,41.2,41.8,32.69,40.28,45.01,35.53,33.86,34.71
9.35,26,29.92,31.8,28.27,36.47,30.63,39.49,29.8,31.69,25.76,34.11,26.89,39.59,38.91,36.27,28.03,32.15,37.02,28.8,32.75,33.9,24.61,32.76,35.69,28.27,25.97,27.83
9.76,21.23,24.75,25.62,21.52,28.05,23.64,32.06,25.58,27.36,20.59,28.47,22.37,31.04,31.8,28.45,22.74,26.38,32.05,24.73,26.48,28.09,18.16,26.09,28.5,23.43,20.74,22.65
10.17,17.91,22.2,22.53,17.59,22.77,19.21,27.48,23.56,24.74,18.33,24.6,20.51,25.41,26.79,23.64,19.44,22.46,28.31,21.58,22.12,24.39,14.05,21.43,23.51,19.32,18.11,18.55
10.57,16.17,21.44,19.96,14.47,20.5,17.13,24.71,21.5,22.22,17.91,21.54,19.68,22.88,22.52,21.09,18.32,18.33,25.75,18.97,18.82,22.25,12.38,19.61,20.68,15.55,16.76,15.32
10.98,15.09,20.66,17.52,11.72,19.47,16.97,22.52,18.71,19.69,17.5,19.24,18.93,21.91,18.71,18.83,18.59,14.4,24.07,16.82,16.71,20.48,12.1,18.97,19.13,12.84,15.26,12.64
11.39,14.04,19.08,16.35,10.41,18.17,17.67,20.57,16.34,17.55,16.39,17.63,17.91,21.56,16.12,16.5,18.56,12.46,22.7,15.21,16.35,18.72,12.17,17.8,18.22,11.7,13.71,10.6
11.8,13.51,17.49,17.03,10.73,16.64,17.64,19.18,14.73,15.7,15.27,16.28,16.24,21.82,15.07,15.27,16.99,12.86,21.49,14.26,16.81,17.64,11.91,16.54,18.01,11.96,12.46,9.7
12.21,13.7,16.19,17.97,11.1,15.56,16.72,18.32,13.15,13.81,14.67,14.81,14.19,22.3,14.99,15.25,14.12,13.96,20.58,13.83,16.72,17.3,10.86,15.87,18.01,13.03,11.22,9.84
12.62,13.93,14.66,17.17,10.01,15.14,16.14,18.17,11.93,12.33,14.45,13.54,12.69,22.19,14.99,15.32,11.12,14.17,20.07,13.66,16.03,16.74,9.46,15.2,17.64,14.06,10.17,10.23
13.02,13.54,13.06,14.99,7.77,14.73,15.92,19.29,12.1,12.13,14.23,12.94,12.27,21.27,14.4,15.02,9.08,13.27,19.96,13.43,15.61,15.47,8.54,14.18,16.93,14.22,9.91,10.45
13.43,12.24,12.18,12.88,5.77,13.79,15.12,20.87,12.97,12.77,13.54,12.53,12.92,19.99,13.31,14.81,8.22,11.69,19.84,13.18,15.57,13.97,8.05,13.25,15.81,13.28,10.52,10.7
13.84,10.4,12.36,10.81,4.58,12.82,14.01,20.92,12.99,12.83,12.71,11.86,13.92,18.95,12.29,15.05,8.14,9.98,19.47,13.24,14.87,12.66,7.45,12.53,13.9,11.86,11.88,11.03
14.25,9.12,13.01,8.77,3.87,12.59,13.64,20.97,12.48,12.05,12.08,11.49,13.81,18.11,11.7,15.54,8.63,8.89,19.34,13.21,13.16,11.57,6.6,12,11.53,10.72,13.67,10.81
14.66,9.04,13.23,8,3.59,13.05,14.4,19.08,12.75,11.44,11.66,11.68,12.31,16.96,11.82,15.66,9.34,9.11,19.92,12.44,11.91,11.11,5.93,11.68,9.57,10.3,15.07,9.92
15.07,9.4,12.86,8.3,3.97,13.51,15.65,16.4,13.29,11.5,11.29,11.54,11.26,15.62,12.62,15.22,9.5,10.29,20.71,11.57,12.05,11.51,6.08,11.32,8.43,10.52,15.11,9.37
15.48,9.24,12.56,8.61,4.61,13.38,15.9,14.46,12.97,11.71,10.87,10.65,11.88,14.7,13.18,14.67,9.02,10.95,20.8,11.49,12.53,11.92,7.19,10.82,8.05,10.84,13.6,9.65
15.88,8.79,12.41,9.17,4.72,12.99,14.57,14.06,12.09,11.33,10.5,9.8,12.66,14.12,12.78,14.2,8.6,10.04,19.98,11.83,12.05,11.69,8.32,10.39,8.05,10.74,11.35,9.84
