Sample	Start_size	Start_RFU	End_size	End_RFU	FWHM
CT_PD1	291.8	535.24	374.38	543.6	82.58
NE_MRL1	286.53	382.08	428.78	379.8	142.25
 YC_PD1	288.28	462.41	370.23	465.13	81.95
CT_Large3	159.05	240.72	556.56	196.64	397.51
CT_PD2	288.87	549.27	372.31	543.37	83.44
NE_MRL2	285.36	313.66	425.93	316.21	140.57
 YC_PD2	288.87	435.56	375.08	439.25	86.21
CT_PD3	290.63	525.41	374.38	524.97	83.75
NE_MRL3	285.36	342.08	427.35	336.86	141.99
 YC_PD3	291.8	396.5	377.85	395.75	86.05
CT_MRL1	284.77	350.65	423.79	352.86	139.02
NE_PD1	290.04	476.5	376.46	474.45	86.42
 YC_MRL1	285.36	321.07	433.05	318.51	147.69
CT_MRL2	284.18	382.81	420.94	379.05	136.76
NE_PD2	289.46	551.22	373.69	553.52	84.23
 YC_MRL2	284.77	305.43	424.5	301.73	139.73
CT_MRL3	285.36	329.59	420.94	328.56	135.58
NE_PD3	291.8	450.75	375.08	452.23	83.28
 YC_MRL3	286.53	283.89	430.2	282.73	143.67
CT_Large1	159.05	277.09	558.58	252.37	399.53
NE_Large1	160.09	203.91	596.97	175.37	436.88
 YC_Large1	160.09	231.43	601.0	222.77	440.91
CT_Large2	159.05	208.49	566.66	187.05	407.61
NE_Large2	158.53	241.18	582.83	235.68	424.30
 YC_Large2	160.09	264.6	575.76	226.86	415.67
NE_Large3	158.53	163.53	538.38	143.19	379.85
YC_Large3	160.09	191.53	588.89	186.12	428.80
