bp,E1: JW_1,E2: JW_2,E3: JW_3,E4: JW_4,E5: JW_5,E6: JW_6,E7: JW_7,E8: JW_8,F1: JW_9,F2: JW_10,F3: JW_11,F4: JW_12,F5: JW_13,F6: JW_14,F7: JW_15,F8: JW_16
50,2.29065587,3.79236371,3.096108298,2.058881599,1.410383061,0.766993039,0.376720037,1.788201946,0,1.584946059,0,1.947356752,0.916417655,0,1.573031975,2.623814645
51,2.123354139,4.57872226,4.018575592,2.180663385,1.739351782,1.141843221,1.747107433,0.874676218,0,0.764082427,0.737234445,1.752900963,1.815491852,0,1.342150587,2.126647154
52,1.214996529,5.096928269,4.798648931,2.888463768,3.368023719,2.652513785,3.293927,0.920726637,0,0.450180621,2.530002742,2.110698427,2.832337017,0.499135513,1.303067257,2.769508876
53,0.135399685,5.480009815,4.729598963,4.015044241,5.383910944,4.250699917,4.473924132,1.580535136,0.244868658,0.45046134,3.822105989,3.073353505,4.196035201,1.384182404,1.902805033,4.801438064
54,0,5.599458813,4.015003973,4.986085241,6.152801748,5.311284178,5.019385736,1.937536652,0.063523919,1.038386479,3.660350555,4.479471897,5.354085641,1.73152385,2.884216697,6.840897341
55,0.945707339,5.683457383,3.801123801,5.35008301,5.720732572,5.919193584,4.644674856,2.508824703,0,1.768980505,2.651064459,5.43463024,5.735664871,2.114165527,3.584888236,7.971917481
56,2.263213712,6.067378977,3.928498436,4.777249848,5.553633189,6.068509919,3.630073771,3.348610071,0,1.882630024,1.942722737,5.434500199,4.994945391,3.016900506,3.817355421,8.64891515
57,2.557719913,6.626259329,3.370916452,3.814135691,5.696277909,5.869550971,2.86525734,3.669652884,0,1.401695877,1.530009418,4.932327516,4.147059607,4.202474108,4.040936806,9.468228331
58,1.435115621,6.997809594,2.532204962,3.587215021,4.778180403,5.098465645,2.588914471,3.4677466,0,0.709139923,0.863964327,4.184627364,4.736780473,4.968714586,4.292633844,10.13940082
59,0.531497959,7.121158529,2.151255752,4.388522903,3.160112953,3.262436199,2.543356095,3.369542911,0,0.465974538,0,3.249723392,6.262085624,5.072120864,4.369490356,9.788222329
60,1.452976726,7.366571615,1.6809361,5.32478773,2.955011874,1.67195583,3.076898444,3.72932731,0,1.03468115,0,2.945161412,6.562092242,4.973648539,4.442100822,8.279364682
61,3.40635812,7.963518759,1.000571207,5.435581713,4.768087897,2.094920511,4.351745618,4.271812988,0,2.026641921,0,3.629702263,5.04423664,4.860551021,4.599406671,6.821221116
62,4.567258184,8.58999058,0.791855329,4.717483675,7.007288305,3.669686743,5.463020571,4.448865629,0.508813931,2.749978896,0,4.148214704,3.758572988,4.106331845,4.903505426,6.531496174
63,4.291522515,8.880181953,1.176097721,4.270872778,8.492204369,4.952165829,6.065797347,4.0955621,0.783326856,2.706511748,0,4.293315854,4.465658053,2.698435847,5.383913268,7.12769903
64,3.289298195,8.6306526,1.951227947,4.988462581,9.666239531,6.277438805,6.824317824,3.790666142,1.312311476,2.326272785,0.320726339,5.064138447,6.286070123,2.578803057,5.467018432,7.896196619
65,2.9979739,8.343017583,2.818589103,6.389018181,10.72813798,7.489353164,7.851790335,3.856279189,1.93787422,2.185668482,0.865825862,6.463042668,7.634494305,4.865276782,5.023742992,8.572054644
66,3.903136448,9.055355246,3.275612862,7.449376991,11.24730186,7.700516126,8.68688104,3.782094109,1.873177389,1.782093903,0.206624367,7.688554841,8.66384264,7.267550853,5.126055337,9.105714723
67,4.792953182,10.61937447,3.496615996,8.106123172,11.75842141,7.503296312,9.328372807,3.489017989,1.155098551,1.19382334,0,8.095612515,9.739359344,7.809041119,6.30023285,9.508714648
68,4.805751274,12.10945674,3.732541861,9.032551227,13.14994138,8.495459037,10.27879233,3.783760731,0.626109845,1.361712063,0.070807913,7.673274594,9.994165558,7.657904393,7.914468762,10.19676875
69,4.573866897,13.48956707,3.539327723,10.39096312,14.64438446,10.32715481,11.54737258,4.906553153,1.017365284,2.199993843,0.227805114,7.559864892,9.203483225,8.510998029,9.87656483,11.20806815
70,5.063294647,14.97291734,3.166498245,11.74360201,15.40768082,11.53032783,12.78843999,6.290028798,1.9336615,3.251921987,0,8.979253056,8.494641692,10.65091149,12.14561171,12.3149164
71,6.575931832,16.55819732,3.122988031,13.24031626,16.27677674,12.53861103,14.18181609,7.880557365,2.225859131,4.569598,0,11.83268634,8.479174674,12.99486354,13.71125867,13.78116835
