bp,A1: VK_1,A2: VK_2,A3: VK_3,A4: VK_4,A5: VK_5,A6: VK_6,A7: VK_7,A8: VK_8,B1: VK_9,B2: VK_10,B3: VK_11,B4: VK_12,B5: VK_13,B6: VK_14,B7: VK_15,B8: VK_16,C1: YG_1,C2: YG_2,C3: YG_3,C4: YG_4,C5: YG_5,C6: YG_6,C7: YG_7,C8: YG_8,D1: YG_9,D2: YG_10,D3: YG_11,D4: YG_12,D5: YG_13,D6: YG_14,D7: YG_15,D8: YG_16
50,3.83314874,1.463422417,2.11467006,5.333254549,1.527261098,0,5.775371514,2.114628731,2.351617162,3.47198827,6.034677473,3.732891104,3.976107494,6.548249373,3.639143242,4.85443373,5.78183256,2.717838491,4.499490013,5.130548794,2.818654007,6.939471711,2.882729557,5.954036819,5.174135996,2.410746063,2.952068055,1.319507791,1.851875259,3.253591509,0,1.391562598
51,3.453258252,2.120489054,2.297550998,5.372659033,1.357447432,0,6.839539634,1.981384419,3.116308284,4.260443627,7.541703797,3.152960217,3.583246521,6.466729903,1.856994737,4.514302917,6.16800293,2.822509515,3.88368023,4.557647174,3.157020732,5.855202215,2.12898049,6.522881204,5.115217042,2.800748,2.549923805,1.433667525,1.01067162,3.275564218,0,0
52,2.987495121,1.582322401,3.179045895,5.35469044,2.145617949,0,8.102078414,2.627171231,3.835707146,4.558064772,6.979799943,3.114623854,3.976726485,6.642559094,0,4.806892032,6.936792521,3.162386935,3.999635516,5.103601322,3.76566172,3.50310861,2.30674714,7.335782222,4.423424997,3.762147375,2.211975806,1.12772334,1.176472762,3.330889784,0,0
53,2.719225603,0.672717271,4.840514172,5.123006221,3.910125548,0,9.259184663,3.059654573,4.362398494,4.222210052,5.375050423,3.966817847,4.495608969,7.175377982,0,4.72488841,7.045159374,3.761182741,4.859564889,6.100711873,3.763844562,3.932394332,2.235128565,8.400757848,4.286374296,4.841407078,2.710002469,1.198557157,2.533974608,3.879826721,0,0
54,3.432805475,1.526258461,6.664361848,5.026226135,5.727122831,0,10.20654559,2.839649283,5.479340728,4.440333385,4.39485612,5.630246701,5.02443166,7.137237509,0,4.145943063,6.228037521,4.954313203,5.925193121,6.841826999,3.336333964,5.80466823,1.473785529,8.879992078,4.816701437,5.300086478,3.976212632,1.1780671,3.954063361,5.302626885,0.729474573,1.240680018
55,5.478689966,4.150273189,7.455194715,5.811328274,6.932278168,0,10.7837776,3.08265453,6.679833102,5.4293318,4.72183104,7.64235153,6.29192265,6.773417742,1.801336564,4.514061546,5.982785265,6.025231836,6.782150287,7.065608145,3.955532352,7.243936151,1.145667529,8.434886375,4.749992727,5.134258424,4.792240418,1.067423798,4.550909087,6.826551786,1.897029567,2.500249388
56,7.44472638,6.469049458,7.072461739,7.058322069,8.048636205,0,11.15797087,4.904472785,6.951070196,6.467777922,5.781833292,9.286755679,7.94933941,8.193676914,3.97169686,6.26395585,6.803221458,5.500858815,6.884703271,6.419282714,6.004982954,7.887364503,2.009664463,7.899196891,4.066690466,4.906506179,4.122053394,1.637971751,4.361261553,7.651415116,2.174004189,3.542412992
57,7.850101721,6.980806954,6.04253035,7.528190599,8.836682093,0,11.54152475,7.468975758,6.55028981,7.38070371,6.24732615,9.924053375,8.811244025,9.560580665,6.128818498,7.738021673,6.951944655,3.986192284,6.045856258,4.888126907,7.84637273,8.838335787,3.666040411,8.03996991,3.662529284,4.881146219,2.821625908,2.290697141,4.06021333,7.963090489,2.320299662,3.647516813
58,7.291981845,6.404837493,4.963448728,6.726921689,8.677269625,0,11.75445029,8.863840301,6.25997768,8.706259765,5.485253847,9.644991173,8.683954917,10.27274322,6.89966089,7.320833058,5.785833028,3.229750645,4.81545605,3.41115367,8.588469923,10.24625956,5.195163201,8.823154521,4.026479476,4.941813794,2.460279066,2.214204684,3.949753656,7.75147924,2.682750032,2.457734987
59,6.836165872,6.360882018,4.56998042,5.124048565,7.745509949,0,11.63221732,8.414197275,6.466794502,9.814698281,4.291681557,8.689340187,7.429155993,10.84309259,6.110580257,5.626418042,4.626885589,3.557307903,3.83473297,3.177139458,8.414037357,11.12305505,5.466420116,8.8763166,5.249884881,5.281222753,2.423611303,1.553356172,3.409679807,7.008352879,2.340748768,1.127792198
