bp,A1: VK_1,A2: VK_2,A3: VK_3,A4: VK_4,A5: VK_5,A6: VK_6,A7: VK_7,A8: VK_8,A9:,A10:,A11:,A12: Std_1,B1: VK_9,B2: VK_10,B3: VK_11,B4: VK_12,B5: VK_13,B6: VK_14,B7: VK_15,B8: VK_16,B9:,B10:,B11:,B12: Std_2,C1: YG_1,C2: YG_2,C3: YG_3,C4: YG_4,C5: YG_5,C6: YG_6,C7: YG_7,C8: YG_8,C9:,C10:,C11:,C12: Std_3,D1: YG_9,D2: YG_10,D3: YG_11,D4: YG_12,D5: YG_13,D6: YG_14,D7: YG_15,D8: YG_16,D9:,D10:,D11:,D12: Ladder
50,5.3296946394958145,5.2304554099689025,6.336654225867571,6.402510510367226,2.7556911695118123,2.8649040541166695,6.899766621140216,6.157563654030194,2.500109213256556,2.9371210469209488,4.788701552827823,3.2343968403601084,4.174368122090363,5.779158811194567,4.159397884914263,4.829020995748635,8.043988768379494,1.4784639775100876,2.3871069815633077,3.630958938266584,1.2800746546196113,1.5873574373355206,3.2367512597003776,6.745979090539152,6.508048707496336,7.27193184831625,2.2637042865069774,1.2850320841729466,4.262146430089987,4.6964031870617005,4.7388679296306595,5.194533075371217,3.5259765383331563,5.600321821407972,2.975859158508681,2.2469320417520833,6.304759356826572,4.959494477001946,6.036983348732547,4.046404722187988,3.961785476760504,4.540336518722189,4.819847213258002,3.7240630592769564,3.510028881193,1.9687774807854999,2.085243967905192,1.4220083821402663
51,4.796832211365565,4.740073968302123,6.594389114838492,7.51704231951201,2.1764070366200556,3.14770478107832,6.6984689766628875,6.0152213723733565,1.6311951870023207,3.9157725153892167,4.953464903912001,5.101118706819369,5.633676678745954,4.319034617730419,5.777546521202289,3.5918440669260634,8.408168997124076,0.0,2.0847758148916316,2.905583773657015,2.503665754361529,2.079907201119785,4.306060337891403,7.956095100616362,6.247086356126279,8.22255317780849,2.146468873547384,0.6889222404439765,5.868445609337174,3.657957523110695,5.49970263396457,5.622497829626733,3.278006159694491,5.012422381627803,3.378354200030277,2.9714442788645634,6.249241867072149,5.5924389551890235,5.568466461390975,4.401002493421213,5.049357209240969,4.19901328685836,5.175337489784314,3.550371260432099,3.3660808692085755,2.5768791164078424,2.410075009417923,1.2266812125537012
52,4.590869915027088,5.267542659383016,7.360861804270833,9.084787113970703,2.890967420592224,4.246410761501808,7.620030908977023,6.673865960967451,1.9801262706045772,5.488285093881128,5.317785334878121,7.854871713989437,8.45764902841298,4.3489974140686165,6.381254951822765,2.2957797588904647,8.746421365858707,0.0,1.8678192120301997,2.190097630217537,3.1335861545271677,2.550647445733449,5.01269700926624,8.95243406453072,5.7921740935945,8.703891011016164,2.7989609255002437,0.17492529605071222,6.958324015874264,3.7326364867067285,5.756170322250972,5.521661196134951,4.101697279570509,3.993193636935842,3.871416413414517,3.9833150494853737,5.316074325888132,6.3611578505677935,4.904973159665465,5.179320750653433,6.46236123325006,4.248711804339499,4.982786657017034,2.912117198100352,4.227339799684636,3.0048215724935057,2.004222939719175,1.7024965878207978
53,4.879388419822449,6.36016136396492,7.809685743808043,9.952233365613123,5.602723919477311,5.531311559220763,9.068359885112276,8.198955241365395,3.377851559021481,5.962587720004125,6.056762055033605,9.658245600317978,11.565484785078919,4.804764842260314,6.7432124065451475,2.4090954532759947,8.275280710267927,0.6867453657896793,2.2811657818941877,1.9882771103737849,3.250318875559346,2.306279861041914,6.35943314162135,10.145530266613287,5.644057650200086,8.917464484491228,3.74369183925326,0.9542423311697341,7.101031554614933,5.295325152674481,5.365588906355939,5.281063505524991,5.397206318888137,3.891220932587938,4.584415338257982,4.726067060811931,4.5283325079529675,7.070015988906261,5.64775825259167,5.72015975624287,7.007104793737278,5.797343938485675,4.483378716237225,3.390556479141663,4.5204021486559185,3.3707935165151306,1.7153374251689153,1.5075176371984547
54,6.077558259345254,8.060724869348942,8.517428458106988,10.18750107343061,8.958125463441368,6.982376044776463,10.41095411889739,9.806530912682494,4.936099656911199,5.784062436273239,7.2287334985493015,9.262639164252093,13.816236362692267,5.215578827168088,7.009533234592551,4.092186220167751,8.420078892817697,2.4515464603354884,3.641755124687535,2.373704323115443,3.42513357335657,2.12866067966268,8.054454755176756,10.884018552646364,6.3599522956954,9.764432707967714,4.383796918491964,2.9400382138196504,6.853243324836087,6.353851622031569,4.932611668914928,5.5156884512666045,5.797269765840723,4.696370682382204,5.335112236547555,6.055758568581864,4.322743606025303,7.778282923823023,7.0223315333016245,5.797389075268176,7.2400763885353,8.12032179435992,4.771494798891957,4.7118860202617405,4.550079142175863,3.819141168051773,2.1550643823036477,1.1812817217735239
55,7.683813140793805,10.738681847920706,9.933048615125006,10.404120880199772,11.466951200149444,8.691178310285107,12.211634012843115,11.191930528783118,5.6433974201229855,6.330903424837466,8.531899215680065,7.409887730387352,14.219321876196997,6.1550810516113925,7.2456987756933575,5.05017722758148,9.856412725414645,3.9860920891423195,5.319877069101715,3.0640639603100404,3.9095501160094273,3.22484159161046,8.015135102548111,8.372594312448069,7.802366228348528,11.277044511771965,4.3758457722075645,4.824977590035813,6.498583450915577,6.321803474761418,5.5416315785540835,6.774006806905692,5.895496091337636,5.722066204239098,5.957293699916523,7.534118372345122,4.98810824032263,8.201143040302483,7.563605083848703,5.868159416956613,7.7427686338107184,9.091921966441927,5.582647663174097,6.390515442476765,5.772460927874112,4.405556043567951,2.924812179182336,1.5614545908007067
56,8.572485312526464,13.053937724724328,11.680720867166556,10.969090746214048,12.81037401413995,10.082239859309452,14.945786221115652,12.696728961861083,5.969215657398857,7.056864682198071,8.821777324933484,6.096868491256462,13.34476999063662,7.565267334952451,7.43689347207409,6.202689287403396,11.528104370543922,5.420482302938416,6.388946638872633,4.18673408935154,3.9609184519594827,4.8036219358215915,7.1596054730973835,5.296958555700825,9.103487509594187,12.659707422997773,4.225913211495737,5.5818211554416814,6.027314078520764,6.177654035592906,6.7034512726091044,9.102364241103704,6.463922623180489,7.226917130760022,6.564615730347705,8.164320585698377,5.871271922472795,8.074897622786409,8.279090872416914,6.266982946860948,8.21867011530338,8.750937162653807,6.094592058125332,8.213492660409951,6.780607517674238,5.710823767606617,4.080511960875978,2.622917295379066
57,8.980633358893867,12.733958706611196,12.973474372804512,12.113866166067911,12.76421642418599,10.534066695255492,17.85608194691442,14.051815787161699,6.562362057066079,6.948414526800178,7.664437513598979,6.87885300940049,13.20988346480866,9.040309822451361,7.594469105860021,5.956439578957833,11.986780742552943,6.116083616877564,6.3858777922969985,5.471578319452327,3.871577177041118,5.908195270899784,7.052259187116457,5.398814745093061,9.269624540517317,13.596334117785059,3.629101583688154,5.286598519166492,5.530637098483323,5.971372391202442,7.860825344354049,11.937856634228293,6.964652873778393,9.05882092407024,7.016275702326183,8.558862739543931,6.3952119122321,7.6927183189267,9.103888812893,6.5637135488605045,8.2793052425026,8.394433346141346,6.023989716750848,8.90762279018297,6.1772345674011895,7.121675729958756,5.14973771548619,3.8986914969769892
58,9.754644463751406,10.617451420489967,13.46107058020573,12.778571709941962,10.927521725683514,9.888153155097342,19.42134492181743,14.404723638240657,6.52096806416182,5.800309778801123,4.67867931553218,8.816488704680806,13.080322159219323,9.365163205812246,8.42486559887079,4.29504137757605,10.210691771047536,5.880239131343208,5.865832235461963,6.23126382925701,4.221155243971079,6.314902129172211,6.452287590430021,5.14897200932246,8.301830107373505,14.355429851198041,2.8198092387462026,4.749376967498868,5.513656050135678,5.530414817963284,8.836285908808037,13.745995886201744,6.809745695701315,9.830393904277152,6.5132502902594105,8.15754717865718,6.7773875694299335,7.04750665756807,8.325489180137568,6.06560571490224,8.025982456555033,8.288940421622662,5.503866125538714,8.082423349488945,4.932975426177983,7.533621212745748,5.483328714562868,4.357840094496055
59,10.305732568796326,9.70648461039917,14.367260622344697,12.565178991187654,8.938942143174428,9.210756522628792,18.826604201340366,13.956830638520533,5.8815215538576044,4.315105258643713,4.702606798052728,9.66362565166437,12.391388199144124,8.148118323985019,9.783596490852267,2.832910390027716,7.971313825085139,5.2432540367437115,5.919674945960366,6.3556774046913835,4.497324075565425,5.238001492756041,4.650804696209798,4.736960054395839,7.602937659151946,14.89066752937387,2.8591259383222614,4.324573703175486,5.922060059614274,4.88471215320127,9.063065221647324,13.30933126626288,6.156302034442582,9.217355101333142,4.897979321919959,8.132989332380909,6.274819786121675,6.127117994087616,6.145479655331989,5.423994928630089,7.776154216944508,8.40991872777837,4.590460772396262,7.106531215449293,4.139862583189412,6.932761192366213,6.21062561177967,4.480251878289692
