bp,A1: VK_Corrielle_1,A2: VK_Corrielle_2,A3: VK_Corrielle_3,A4: VK_Corrielle_4,A5: VK_Corrielle_5,A6: VK_Corrielle_6,A7: VK_Corrielle_7,A8: VK_Corrielle_8,B1: VK_Corrielle_9,B2: VK_Corrielle_10,B3: VK_Corrielle_11,B4: VK_Corrielle_12,B5: VK_Corrielle_13,C1: YG_Corrielle_1,C2: YG_Corrielle_2,C3: YG_Corrielle_3,C4: YG_Corrielle_4,C5: YG_Corrielle_5,C6: YG_Corrielle_6,C7: YG_Corrielle_7,C8: YG_Corrielle_8,D1: YG_Corrielle_9,D2: YG_Corrielle_10,D3: YG_Corrielle_11,D4: YG_Corrielle_12,D5: YG_Corrielle_13
50,8.315549502,6.73971558,6.020585987,6.790596091,4.18907119,2.685096167,2.658178636,8.807198318,4.867448266,6.482305798,7.192531104,10.33399651,0.677006343,7.577206461,3.409927382,2.535173694,0.488836541,2.433945244,5.717980263,5.145305904,6.722380679,4.772477068,5.060892732,6.721034382,2.843789352,5.150505872
51,6.941505034,5.799459121,6.447873956,6.140467877,4.50342327,3.900998305,1.516798005,8.762150044,3.899051638,7.24916235,7.102865434,10.1291356,1.514576979,7.322232909,5.039788446,4.123898731,0.104107392,4.492695692,5.395105946,5.191659897,6.632227209,5.540731746,5.286772993,6.217732379,2.59696364,4.514936798
52,5.683955488,5.997415582,7.774317918,5.990862297,4.935176316,5.19126559,1.59088648,8.216343075,3.060439132,6.815516706,6.014102813,10.66936534,2.400801098,6.68357752,5.577148064,4.381285415,0.483564733,5.110392612,4.798439331,5.758175814,6.66143097,6.153612899,5.583546292,5.993381622,2.273931649,3.356107664
53,5.127928394,7.456008459,8.770461454,6.049981005,4.904135449,6.653778186,2.20472533,8.031574384,1.827586889,6.447129826,5.208176739,11.53782634,2.660734012,6.594220808,5.787680741,3.778627293,1.456595912,3.040625868,3.369706328,6.453877187,7.736714727,6.307269189,5.708633951,6.030385447,2.050974117,2.448184097
54,5.197168817,8.742060979,8.758498111,6.251997804,4.200397321,7.24143766,2.642293544,8.284903375,1.271778828,7.499450386,5.921881519,12.0011361,2.119494648,7.224896036,6.684005526,4.38492595,2.992388138,1.182035694,2.473111752,7.262021897,9.966451238,6.372142403,5.885457976,6.355567283,2.320537203,2.962150946
55,5.404948925,9.27224803,8.268020887,7.163696602,4.367233899,6.902519951,3.112501264,8.399062125,2.328387987,9.032331717,7.82458325,12.73954168,2.231282928,7.902260417,8.154225505,5.818429265,5.203637315,2.052630785,2.614138221,7.295418182,12.73437021,7.320701764,6.124623828,6.587065444,2.970035771,4.757875814
56,6.57772255,9.079626929,8.648212436,9.914242773,5.636032986,6.488944042,4.027400274,8.608876234,3.866006187,10.68694031,10.64012317,14.33981298,3.592143262,8.704909257,9.877072068,6.901947836,7.646436991,4.937570598,3.094479382,7.226451546,14.9157196,8.849248914,6.733596634,7.379900182,4.428907518,5.952090952
57,9.172062544,8.339700426,11.10508029,14.87930553,6.607428052,6.821061613,5.623696322,10.21225706,6.503996275,13.57691731,13.77367934,16.94606563,5.654852216,10.88524883,12.06241515,7.381981483,9.308594578,8.40804072,5.007552481,7.217969109,16.15777273,9.128204413,9.063838523,8.181311828,7.292011821,6.070577797
58,10.98396824,8.154226132,14.9565968,20.10442071,7.458455234,9.625554154,8.044959797,13.31109338,10.6040269,17.28019639,15.59308996,19.89335911,8.51118518,14.44808026,13.14819637,8.146540896,9.577022419,12.04576634,8.571786347,8.745986581,16.73071002,8.048597626,13.46252587,8.579976202,10.71828138,6.722436218
59,10.5462228,9.080595635,17.1593034,22.54090513,9.20424818,13.66601305,11.77687249,15.80587818,14.21725028,19.9710887,15.00085454,21.0254877,10.97968971,17.48627185,11.8338602,10.24938101,8.860148281,14.72573143,11.58841373,11.78267701,16.52842177,7.808879259,17.67971603,10.42705321,13.09630539,8.369009666
60,9.067476891,9.996246086,16.08291218,22.28131436,12.33331834,16.85616739,15.6220358,16.23186906,15.64771066,20.68378598,13.43113985,20.14334135,11.01672935,19.00486867,9.904353158,12.3056999,8.235368579,15.29073881,12.83428887,15.43774587,15.66507976,8.913681854,19.70461643,13.91826024,13.60913744,9.640846837
61,7.848296479,10.31190499,14.42135102,21.87339373,16.90270642,18.14188039,16.97045595,15.80843559,15.4351883,20.32205269,11.89069744,20.04614351,9.620044657,19.44210238,9.105515435,12.20889579,8.288663718,14.85637924,13.62763781,17.82305736,14.89805601,9.344827191,19.89290377,16.11989718,13.16190589,10.08894994
