bp,A1: JW_1,A2: JW_2,A3: JW_3,A4: JW_4,A5: JW_5,A6: JW_6,A7: JW_7,A8: JW_8,A12: Std_1,B1: JW_9,B2: JW_10,B3: JW_11,B4: JW_12,B5: JW_13,B6: JW_14,B7: JW_15,B8: JW_16,B12: Std_2,C1: VK_1_501,C2: VK_2,C3: VK_3,C4: VK_4,C5: VK_5,C6: VK_6,C7: YG_1,C12: Std_3,D1: YG_6_427,D2: YG_9,D12: Ladder
50,2.986327256977407,6.696212566271511,3.634610939545877,4.426239362606682,4.394730597048289,8.096104654200388,6.60313899764576,2.5264602389248725,0.0,4.188976500849618,2.126934326207492,6.0135058920055044,5.756816358729457,2.7731202899408487,0.0,5.386135314338959,4.072309262976835,3.4904344605051842,3.8132911038807733,1.817259429774645,1.0948669813346878,6.929617011460449,0.0,3.150157927381355,5.062333386121251,4.627546596532014,6.934382691991862,8.13331191372122,4.763941598182766
51,1.7080392432868592,5.523584901374386,6.026369744072905,4.965286636064328,4.520405410150581,8.058119824506381,6.312750873989376,3.8411944699258314,0.0,3.2111191450791443,2.3789486280568504,5.957414814865236,4.736086909935652,1.534920242982811,0.0,4.151156495800374,5.39627728931321,3.739231831796662,4.164176289605008,3.9607501778327023,1.8493321917509769,6.910504352645117,0.0,3.6820410570417135,4.678792786394023,5.038871450330713,6.768866165224345,7.78682952543674,3.975767783903734
52,1.5219058266290888,3.664917019956044,7.499355910443857,5.966209023379154,4.930676938184328,7.727634665707199,5.978074283762819,3.9016948124923707,0.6950932825074649,3.6562182611855714,2.2817297072274654,6.3376672832434435,4.692271847712361,1.177049848464693,0.0,2.469067328284537,6.385916629785236,4.734366926033862,4.559101874491363,6.215195514431468,4.659515584550771,6.887969124491471,0.0,4.540922311727101,4.496954964216042,5.744034344791071,5.83721590966824,6.713746298001073,3.6325239568405925
53,1.7237177416850817,3.5315922557407284,7.193592846617197,6.513505293651975,5.620082246471386,7.73234405233281,5.961326196651374,3.1470790529289943,3.122755600843582,4.250652925005923,2.2581359509631427,6.540305156534435,5.57276690505112,3.2695998765190204,0.0,2.369314820078445,5.602270569871482,6.006217868715911,5.258443370612729,7.162590416110331,6.742525399778048,6.652687719676722,0.0,5.5475020493556055,4.261215247281825,6.608754997186109,5.662529395965662,4.879796845835444,3.2986317714033784
54,2.070258575047934,4.333476320542568,6.444588593686888,6.228627916309104,6.570749002722397,7.574067274615923,5.589461754899317,2.6128912488012177,4.785525996596104,4.501151125136057,2.217499405215043,6.842449681116263,6.248203363392088,6.808057253901595,0.0,3.5409999771690495,4.459778074824142,6.38971061207364,5.846885816414797,6.741658665407464,7.093101319358472,7.15896616137613,0.0,5.971752196247326,4.209014470474961,7.909767140926646,5.945372581483506,3.713227350414798,2.4849382570133844
55,2.5658066619861413,4.038721771782888,7.067983479956389,5.572492326414337,7.246731304793266,6.543276335796915,5.562308517269617,5.403987185316173,6.146811989913886,5.050402547779034,3.0288067299104044,6.984198283118362,6.827185295564595,8.530537262186936,0.0,4.20161115169859,4.774384380670101,6.577620299344397,6.7691018507910465,6.082760872582364,7.370570854323673,8.121582417301433,0.0,5.877650925172393,4.941045301992872,8.64342083233097,6.010389585643969,4.545959782837722,2.1925395138668744
56,2.8598286275993314,2.9184102402826397,8.366854288128103,5.269332903430168,7.7938891071321255,5.271779707981264,5.84247076664229,8.321636616492352,7.788222861028206,5.692021235481463,4.363685410257938,6.9207947795148606,7.845317591082841,8.293545534983275,0.0,4.640909046588979,6.161719934686484,6.924034711737625,8.565876647390075,6.484304366824007,8.533678566540404,8.693994076519497,0.0,6.230289424727471,6.808995617730225,7.738592852943803,6.256759569642964,6.591754503159635,2.5769677819385937
57,2.810065123219371,2.7005356759475605,7.725284259563948,5.552019790949349,9.08595860379539,5.450771923939388,6.134974807427597,9.206350765705874,8.59605330302136,6.516206003135824,4.958884674334114,8.563852489337732,9.21304362376203,7.115308240035889,0.0,5.975411144056959,8.447418758555262,7.191420412358189,9.216495041920151,8.252318466157824,10.85224496022018,9.256991092553498,0.0,6.513273333660637,9.853843186093062,6.552089273580777,7.0077944636585405,8.808906761933834,3.4325478970421908
58,2.998520621428625,4.466629308534789,5.212608886905095,6.333708756074966,12.136687400117689,7.410197873531092,7.232716267707757,7.818977677400467,8.617215246900749,8.042969429373949,5.455389267426246,11.932540405031729,9.832329272674531,5.564409287533538,0.0,7.658330506145939,11.36980083545946,7.521189358679984,8.482995713526973,9.996897817617164,14.191425824045279,11.457897989582188,1.2934991652072396,6.496138855213166,13.512425887405568,6.638220494644203,9.11846722644687,10.872672601453178,4.773041022360585
59,4.149098242339926,5.896413409643542,4.431078709652652,7.934535687679565,15.94234168254045,9.632236991193395,9.679549438649845,6.135178104985412,8.327096341156889,9.641420459023205,6.803272060521849,13.55811182891613,9.855631610644492,5.161043043637897,0.0,8.029004030715205,14.222513777122265,6.900649137846388,8.534866256178006,10.666661845819377,16.759516023672152,15.290882601325729,3.3548803137077146,7.234441379593457,15.876009736548337,7.1588532122741,12.391949147046954,11.98166272169974,6.128267922734215
