Chrom	Pos	Pos_normalized	Coverage	Target
chr17	7576967	0.008333333	2283	1
chr17	7576968	0.016666667	2303	1
chr17	7576969	0.025	2326	1
chr17	7576970	0.033333333	2369	1
chr17	7576971	0.041666667	2390	1
chr17	7576972	0.05	2417	1
chr17	7576973	0.058333333	2437	1
chr17	7576974	0.066666667	2455	1
chr17	7576975	0.075	2487	1
chr17	7576976	0.083333333	2506	1
chr17	7576977	0.091666667	2522	1
chr17	7576978	0.1	2556	1
chr17	7576979	0.108333333	2571	1
chr17	7576980	0.116666667	2586	1
chr17	7576981	0.125	2610	1
chr17	7576982	0.133333333	2627	1
chr17	7576983	0.141666667	2638	1
chr17	7576984	0.15	2655	1
chr17	7576985	0.158333333	2678	1
chr17	7576986	0.166666667	2701	1
chr17	7576987	0.175	2718	1
chr17	7576988	0.183333333	2750	1
chr17	7576989	0.191666667	2764	1
chr17	7576990	0.2	2781	1
chr17	7576991	0.208333333	2802	1
chr17	7576992	0.216666667	2823	1
chr17	7576993	0.225	2844	1
chr17	7576994	0.233333333	2869	1
chr17	7576995	0.241666667	2881	1
chr17	7576996	0.25	2901	1
chr17	7576997	0.258333333	2930	1
chr17	7576998	0.266666667	2957	1
chr17	7576999	0.275	2997	1
chr17	7577000	0.283333333	3013	1
chr17	7577001	0.291666667	3029	1
chr17	7577002	0.3	3041	1
chr17	7577003	0.308333333	3055	1
chr17	7577004	0.316666667	3072	1
chr17	7577005	0.325	3089	1
chr17	7577006	0.333333333	3108	1
chr17	7577007	0.341666667	3119	1
chr17	7577008	0.35	3145	1
chr17	7577009	0.358333333	3155	1
chr17	7577010	0.366666667	3166	1
chr17	7577011	0.375	3189	1
chr17	7577012	0.383333333	3203	1
chr17	7577013	0.391666667	3219	1
chr17	7577014	0.4	3233	1
chr17	7577015	0.408333333	3251	1
chr17	7577016	0.416666667	3272	1
chr17	7577017	0.425	3292	1
chr17	7577018	0.433333333	3302	1
chr17	7577019	0.441666667	3318	1
chr17	7577020	0.45	3334	1
chr17	7577021	0.458333333	3346	1
chr17	7577022	0.466666667	3392	1
chr17	7577023	0.475	3411	1
chr17	7577024	0.483333333	3441	1
chr17	7577025	0.491666667	3453	1
chr17	7577026	0.5	3468	1
chr17	7577027	0.508333333	3482	1
chr17	7577028	0.516666667	3489	1
chr17	7577029	0.525	3511	1
chr17	7577030	0.533333333	3521	1
chr17	7577031	0.541666667	3546	1
chr17	7577032	0.55	3551	1
chr17	7577033	0.558333333	3559	1
chr17	7577034	0.566666667	3573	1
chr17	7577035	0.575	3598	1
chr17	7577036	0.583333333	3611	1
chr17	7577037	0.591666667	3611	1
chr17	7577038	0.6	3624	1
chr17	7577039	0.608333333	3629	1
chr17	7577040	0.616666667	3633	1
chr17	7577041	0.625	3642	1
chr17	7577042	0.633333333	3661	1
chr17	7577043	0.641666667	3661	1
chr17	7577044	0.65	3664	1
chr17	7577045	0.658333333	3681	1
chr17	7577046	0.666666667	3687	1
chr17	7577047	0.675	3692	1
chr17	7577048	0.683333333	3712	1
chr17	7577049	0.691666667	3728	1
chr17	7577050	0.7	3731	1
chr17	7577051	0.708333333	3746	1
chr17	7577052	0.716666667	3753	1
chr17	7577053	0.725	3750	1
chr17	7577054	0.733333333	3751	1
chr17	7577055	0.741666667	3751	1
chr17	7577056	0.75	3756	1
chr17	7577057	0.758333333	3759	1
chr17	7577058	0.766666667	3754	1
chr17	7577059	0.775	3756	1
chr17	7577060	0.783333333	3757	1
chr17	7577061	0.791666667	3758	1
chr17	7577062	0.8	3763	1
chr17	7577063	0.808333333	3761	1
chr17	7577064	0.816666667	3759	1
chr17	7577065	0.825	3748	1
chr17	7577066	0.833333333	3752	1
chr17	7577067	0.841666667	3742	1
chr17	7577068	0.85	3728	1
chr17	7577069	0.858333333	3716	1
chr17	7577070	0.866666667	3713	1
chr17	7577071	0.875	3714	1
chr17	7577072	0.883333333	3716	1
chr17	7577073	0.891666667	3704	1
chr17	7577074	0.9	3702	1
chr17	7577075	0.908333333	3694	1
chr17	7577076	0.916666667	3691	1
chr17	7577077	0.925	3684	1
chr17	7577078	0.933333333	3689	1
chr17	7577079	0.941666667	3681	1
chr17	7577080	0.95	3674	1
chr17	7577081	0.958333333	3665	1
chr17	7577082	0.966666667	3657	1
chr17	7577083	0.975	3649	1
chr17	7577084	0.983333333	3644	1
chr17	7577085	0.991666667	3639	1
chr17	7577086	1	3626	1
chr17	7590662	0.008333333	1951	2
chr17	7590663	0.016666667	1967	2
chr17	7590664	0.025	1988	2
chr17	7590665	0.033333333	2013	2
chr17	7590666	0.041666667	2037	2
chr17	7590667	0.05	2065	2
chr17	7590668	0.058333333	2088	2
chr17	7590669	0.066666667	2095	2
chr17	7590670	0.075	2119	2
chr17	7590671	0.083333333	2142	2
chr17	7590672	0.091666667	2164	2
chr17	7590673	0.1	2179	2
chr17	7590674	0.108333333	2205	2
chr17	7590675	0.116666667	2226	2
chr17	7590676	0.125	2244	2
chr17	7590677	0.133333333	2263	2
chr17	7590678	0.141666667	2280	2
chr17	7590679	0.15	2298	2
chr17	7590680	0.158333333	2319	2
chr17	7590681	0.166666667	2349	2
chr17	7590682	0.175	2366	2
chr17	7590683	0.183333333	2376	2
chr17	7590684	0.191666667	2403	2
chr17	7590685	0.2	2433	2
chr17	7590686	0.208333333	2451	2
chr17	7590687	0.216666667	2470	2
chr17	7590688	0.225	2491	2
chr17	7590689	0.233333333	2506	2
chr17	7590690	0.241666667	2519	2
chr17	7590691	0.25	2556	2
chr17	7590692	0.258333333	2579	2
chr17	7590693	0.266666667	2599	2
chr17	7590694	0.275	2618	2
chr17	7590695	0.283333333	2629	2
chr17	7590696	0.291666667	2654	2
chr17	7590697	0.3	2672	2
chr17	7590698	0.308333333	2689	2
chr17	7590699	0.316666667	2705	2
chr17	7590700	0.325	2716	2
chr17	7590701	0.333333333	2734	2
chr17	7590702	0.341666667	2757	2
chr17	7590703	0.35	2776	2
chr17	7590704	0.358333333	2787	2
chr17	7590705	0.366666667	2804	2
chr17	7590706	0.375	2819	2
chr17	7590707	0.383333333	2834	2
chr17	7590708	0.391666667	2846	2
chr17	7590709	0.4	2858	2
chr17	7590710	0.408333333	2890	2
chr17	7590711	0.416666667	2911	2
chr17	7590712	0.425	2935	2
chr17	7590713	0.433333333	2945	2
chr17	7590714	0.441666667	2963	2
chr17	7590715	0.45	2991	2
chr17	7590716	0.458333333	3003	2
chr17	7590717	0.466666667	3015	2
chr17	7590718	0.475	3049	2
chr17	7590719	0.483333333	3055	2
chr17	7590720	0.491666667	3069	2
chr17	7590721	0.5	3089	2
chr17	7590722	0.508333333	3105	2
chr17	7590723	0.516666667	3115	2
chr17	7590724	0.525	3129	2
chr17	7590725	0.533333333	3139	2
chr17	7590726	0.541666667	3151	2
chr17	7590727	0.55	3162	2
chr17	7590728	0.558333333	3162	2
chr17	7590729	0.566666667	3179	2
chr17	7590730	0.575	3203	2
chr17	7590731	0.583333333	3209	2
chr17	7590732	0.591666667	3229	2
chr17	7590733	0.6	3241	2
chr17	7590734	0.608333333	3255	2
chr17	7590735	0.616666667	3265	2
chr17	7590736	0.625	3270	2
chr17	7590737	0.633333333	3283	2
chr17	7590738	0.641666667	3306	2
chr17	7590739	0.65	3314	2
chr17	7590740	0.658333333	3317	2
chr17	7590741	0.666666667	3338	2
chr17	7590742	0.675	3347	2
chr17	7590743	0.683333333	3358	2
chr17	7590744	0.691666667	3371	2
chr17	7590745	0.7	3375	2
chr17	7590746	0.708333333	3383	2
chr17	7590747	0.716666667	3391	2
chr17	7590748	0.725	3391	2
chr17	7590749	0.733333333	3399	2
chr17	7590750	0.741666667	3406	2
chr17	7590751	0.75	3410	2
chr17	7590752	0.758333333	3410	2
chr17	7590753	0.766666667	3419	2
chr17	7590754	0.775	3423	2
chr17	7590755	0.783333333	3423	2
chr17	7590756	0.791666667	3430	2
chr17	7590757	0.8	3430	2
chr17	7590758	0.808333333	3434	2
chr17	7590759	0.816666667	3440	2
chr17	7590760	0.825	3460	2
chr17	7590761	0.833333333	3455	2
chr17	7590762	0.841666667	3458	2
chr17	7590763	0.85	3454	2
chr17	7590764	0.858333333	3453	2
chr17	7590765	0.866666667	3461	2
chr17	7590766	0.875	3469	2
chr17	7590767	0.883333333	3467	2
chr17	7590768	0.891666667	3455	2
chr17	7590769	0.9	3460	2
chr17	7590770	0.908333333	3468	2
chr17	7590771	0.916666667	3462	2
chr17	7590772	0.925	3464	2
chr17	7590773	0.933333333	3473	2
chr17	7590774	0.941666667	3466	2
chr17	7590775	0.95	3462	2
chr17	7590776	0.958333333	3462	2
chr17	7590777	0.966666667	3466	2
chr17	7590778	0.975	3453	2
chr17	7590779	0.983333333	3443	2
chr17	7590780	0.991666667	3447	2
chr17	7590781	1	3450	2
chr3	178917463	0.008333333	1695	3
chr3	178917464	0.016666667	1713	3
chr3	178917465	0.025	1739	3
chr3	178917466	0.033333333	1773	3
chr3	178917467	0.041666667	1797	3
chr3	178917468	0.05	1826	3
chr3	178917469	0.058333333	1853	3
chr3	178917470	0.066666667	1877	3
chr3	178917471	0.075	1905	3
chr3	178917472	0.083333333	1929	3
chr3	178917473	0.091666667	1960	3
chr3	178917474	0.1	1989	3
chr3	178917475	0.108333333	2025	3
chr3	178917476	0.116666667	2043	3
chr3	178917477	0.125	2066	3
chr3	178917478	0.133333333	2091	3
chr3	178917479	0.141666667	2121	3
chr3	178917480	0.15	2151	3
chr3	178917481	0.158333333	2184	3
chr3	178917482	0.166666667	2210	3
chr3	178917483	0.175	2233	3
chr3	178917484	0.183333333	2270	3
chr3	178917485	0.191666667	2300	3
chr3	178917486	0.2	2333	3
chr3	178917487	0.208333333	2345	3
chr3	178917488	0.216666667	2368	3
chr3	178917489	0.225	2427	3
chr3	178917490	0.233333333	2455	3
chr3	178917491	0.241666667	2479	3
chr3	178917492	0.25	2518	3
chr3	178917493	0.258333333	2536	3
chr3	178917494	0.266666667	2561	3
chr3	178917495	0.275	2578	3
chr3	178917496	0.283333333	2604	3
chr3	178917497	0.291666667	2631	3
chr3	178917498	0.3	2645	3
chr3	178917499	0.308333333	2661	3
chr3	178917500	0.316666667	2685	3
chr3	178917501	0.325	2697	3
chr3	178917502	0.333333333	2706	3
chr3	178917503	0.341666667	2725	3
chr3	178917504	0.35	2745	3
chr3	178917505	0.358333333	2756	3
chr3	178917506	0.366666667	2780	3
chr3	178917507	0.375	2791	3
chr3	178917508	0.383333333	2805	3
chr3	178917509	0.391666667	2815	3
chr3	178917510	0.4	2835	3
chr3	178917511	0.408333333	2850	3
chr3	178917512	0.416666667	2864	3
chr3	178917513	0.425	2884	3
chr3	178917514	0.433333333	2894	3
chr3	178917515	0.441666667	2909	3
chr3	178917516	0.45	2923	3
chr3	178917517	0.458333333	2940	3
chr3	178917518	0.466666667	2962	3
chr3	178917519	0.475	2981	3
chr3	178917520	0.483333333	3000	3
chr3	178917521	0.491666667	3010	3
chr3	178917522	0.5	3022	3
chr3	178917523	0.508333333	3034	3
chr3	178917524	0.516666667	3045	3
chr3	178917525	0.525	3063	3
